Time (s)	Counter ()	ยว 2 (mm)
0.1748	14.99684	30.032251
0.175	14.998116	30.030722
0.1752	14.993015	30.029192
0.1754	14.99429	30.026133
0.1756	14.996202	30.026133
0.1758	14.994927	30.030722
0.176	14.997478	30.027662
0.1762	14.996202	30.024603
0.1764	14.993652	30.016954
0.1766	14.993652	30.029192
0.1768	14.997478	30.024603
0.177	14.993652	29.340851
0.1772	14.99684	28.355761
0.1774	14.998116	27.252886
0.1776	14.995565	27.229942
0.1778	14.99684	26.302977
0.178	14.991102	25.978693
0.1782	14.993652	25.550392
0.1784	14.994927	25.074673
0.1786	14.995565	25.059376
0.1788	14.99429	25.307178
0.179	14.995565	25.646759
0.1792	14.99429	26.387108
0.1794	14.996202	27.067799
0.1796	14.990465	27.093803
0.1798	14.995565	28.075836
0.18	14.993652	29.187887
0.1802	14.996202	29.969536
0.1804	14.99174	30.023073
0.1806	14.99684	30.027662
0.1808	14.99174	30.023073
0.181	14.996202	30.023073
0.1812	14.99429	30.026133
0.1814	14.997478	30.024603
0.1816	14.992377	30.023073
0.1818	14.99684	30.023073
0.182	14.99429	30.026133
0.1822	14.996202	30.024603
0.1824	14.996202	30.032251
0.1826	14.998753	30.018484
0.1828	14.99429	30.027662
0.183	14.998116	30.027662
0.1832	14.993652	30.027662
0.1834	14.998753	30.027662
0.1836	14.993652	30.023073
0.1838	14.995565	30.018484
0.184	14.995565	30.027662
0.1842	14.997478	30.029192
0.1844	14.993652	30.027662
0.1846	14.994927	30.029192
0.1848	14.995565	30.023073
0.185	14.99684	30.018484
0.1852	14.994927	30.024603
0.1854	14.997478	30.029192
0.1856	14.993015	30.024603
0.1858	15.000666	30.021544
0.186	14.993652	30.027662
0.1862	14.998116	30.029192
0.1864	14.998753	30.024603
0.1866	14.99429	30.024603
0.1868	14.994927	30.029192
0.187	14.996202	29.919058
0.1872	14.99429	29.086931
0.1874	14.996202	27.956524
